Designator,Mid X,Mid Y,Rotation,Layer
C1,50.34,-43.84,90.0,top
C10,45.795,-9.58,180.0,bottom
C11,21.67,-15.725,90.0,bottom
C12,17.675,-36.31,0.0,bottom
C13,19.33,-15.695,90.0,bottom
C14,20.505,-15.695,270.0,bottom
C15,47.185,-22.7,180.0,bottom
C16,46.425,-31.47,90.0,top
C17,46.45,-26.855,270.0,top
C18,52.915,-23.99,0.0,top
C19,29.15,-24.305,270.0,bottom
C2,47.872,-39.44,180.0,bottom
C20,30.35,-24.315,270.0,bottom
C21,27.32,-34.475,90.0,bottom
C22,26.12,-34.475,90.0,bottom
C23,24.92,-34.475,90.0,bottom
C24,32.74,-24.32,270.0,bottom
C25,31.53,-24.325,270.0,bottom
C26,34.41,-24.955,270.0,bottom
C27,35.61,-24.955,270.0,bottom
C28,36.81,-24.955,270.0,bottom
C3,48.45,-41.325,270.0,bottom
C32,46.855,-33.23,180.0,bottom
C33,37.67,-35.55,90.0,bottom
C34,17.705,-38.67,180.0,bottom
C35,17.645,-37.49,180.0,bottom
C36,46.83,-34.39,180.0,bottom
C37,36.5,-35.545,90.0,bottom
C38,35.34,-35.565,90.0,bottom
C39,47.195,-21.54,180.0,bottom
C4,47.26,-41.295,270.0,bottom
C40,47.215,-20.33,180.0,bottom
C41,38.44,-15.69,270.0,bottom
C42,39.62,-15.65,270.0,bottom
C5,46.975,-45.74,180.0,bottom
C6,46.935,-46.98,180.0,bottom
C7,48.295,-15.9815,180.0,bottom
C8,48.265,-17.1815,180.0,bottom
C9,45.755,-10.75,180.0,bottom
CN10,23.6,-8.81,0.0,top
CN11,51.1,-8.785,0.0,top
CN12,7.89,-16.24,90.0,top
CN13,7.95,-43.64,90.0,top
CN14,13.945,-59.98,0.0,top
CN15,19.281,-59.98,0.0,top
CN16,24.617,-59.98,0.0,top
CN17,29.953,-59.98,0.0,top
CN18,35.289,-59.98,0.0,top
CN19,40.625,-59.98,0.0,top
CN3,15.75,-8.795,0.0,top
CN4,58.0,-20.17,270.0,top
CN5,50.015,-54.2535,0.0,bottom
CN6,7.89,-34.74,90.0,top
CN7,32.6,-8.81,0.0,top
CN8,7.89,-25.74,90.0,top
CN9,41.53,-8.815,0.0,top
D1,50.94,-54.62,270.0,top
D10,27.531818,-44.43,90.0,top
D11,29.683636,-44.43,90.0,top
D12,42.32,-32.92,180.0,bottom
D13,42.3,-30.98,180.0,bottom
D14,42.28,-29.04,180.0,bottom
D15,31.835454,-44.43,90.0,top
D16,33.987272,-44.43,90.0,top
D17,36.13909,-44.43,90.0,top
D18,38.290908,-44.43,90.0,top
D19,40.442726,-44.43,90.0,top
D2,49.577,-37.34125,270.0,top
D20,42.594546,-44.43,90.0,top
D3,18.89,-27.81,0.0,bottom
D4,18.92,-29.76,0.0,bottom
D5,18.89,-31.71,0.0,bottom
D6,18.924546,-44.43,90.0,top
D7,21.076364,-44.43,90.0,top
D8,23.228182,-44.43,90.0,top
D9,25.38,-44.43,90.0,top
L1,57.56,-50.65,90.0,top
LED1,51.532,-17.346,0.0,top
LED2,51.54,-15.64,0.0,top
LED3,51.43,-13.596,180.0,top
Q1,51.16,-37.57,0.0,bottom
Q10,36.6475,-53.098,0.0,top
Q11,36.6575,-53.082,180.0,bottom
Q12,41.985,-53.11,0.0,top
Q13,41.9975,-53.122,180.0,bottom
Q2,15.235,-53.11,0.0,top
Q3,15.235,-53.11,180.0,bottom
Q4,20.635,-53.092,0.0,top
Q5,20.63,-53.102,180.0,bottom
Q6,25.975,-53.092,0.0,top
Q7,25.935,-53.064,180.0,bottom
Q8,31.3075,-53.058,0.0,top
Q9,31.3475,-53.042,180.0,bottom
R1,45.527,-39.46,180.0,bottom
R10,52.837,-26.21,0.0,top
R11,52.777,-25.1,180.0,top
R12,50.067,-13.116,0.0,bottom
R13,52.697,-12.966,0.0,bottom
R14,52.707,-14.116,0.0,bottom
R15,15.95,-47.16,180.0,bottom
R16,23.98,-47.09,180.0,bottom
R17,18.92,-40.277,90.0,top
R18,21.074545,-40.277,90.0,top
R19,23.22909,-40.277,90.0,top
R2,45.603,-40.64,180.0,bottom
R20,25.383635,-40.277,90.0,top
R21,27.53818,-40.277,90.0,top
R22,29.692725,-40.277,90.0,top
R23,32.56,-47.07,180.0,bottom
R24,40.5,-47.159511,180.0,bottom
R25,31.84727,-40.277,90.0,top
R26,34.001815,-40.277,90.0,top
R27,36.15636,-40.277,90.0,top
R28,38.310905,-40.277,90.0,top
R29,40.46545,-40.277,90.0,top
R3,45.593,-41.82,0.0,bottom
R30,42.62,-40.277,90.0,top
R31,15.753,-12.54,180.0,top
R32,54.25,-20.203,90.0,top
R33,55.473,-42.42,0.0,bottom
