Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP_0402,1,10nf,
"C10, C13, C14, C20, C21, C22, C23, C25, C26, C27, C28, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C5, C7",CAP_0402,25,100nf,
"C11, C12",CAP_0402,2,2.2uf,
"C15, C3, C6, C8, C9",CAP_0402,5,10uf,
"C16, C17, C18",CAP_0402,3,22pf,
"C19, C24",CAP_0402,2,1uf,
C2,CAP_0402,1,470pf,
"CN10, CN13, CN6, CN7, CN8, CN9",GH1.25_CONN-SMD_4P-P1.25,6,GH1.25-4P,
"CN11, CN12",GH1.25_CONN-SMD_5P-P1.25,2,GH1.25-5PLT,
"CN14, CN15, CN16, CN17, CN18, CN19",通孔焊盘,6,~,
"CN3, CN4",GH1.25_1X2,2,GH1.25-2P_LT,
CN5,XT30PW-M,1,XT30PW-M,
D1,B340A_SMA,1,B340A,
"D10, D11, D15, D16, D17, D18, D19, D20, D6, D7, D8, D9",1N4148W_SOD-123,12,1N4148W,
"D12, D13, D14, D3, D4, D5",DSK_34_SOD-123,6,DSK34,
D2,LMBR240ET1G_SOD323HE,1,LMBR240ET1G,
L1,IND-SMD,1,15uh,
"LED1, LED2",LED_0603,2,GREEN,
LED3,LED-RGB-SMD_4P,1,LED_RGB,
Q1,JSM2301S_SOT-23,1,JSM2301S,
"Q10, Q11, Q12, Q13, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",RU3089M-C_PQFN-8,12,RU3089M-C,
R1,Res_0402,1,10r,
"R10, R12, R13, R14, R2, R4, R5, R6, R7, R9",Res_0402,10,10k,
"R11, R8",Res_0402,2,1M,
"R15, R16, R23, R24",Res_1206,4,10mr,
"R17, R18, R19, R20, R21, R22, R25, R26, R27, R28, R29, R30",Res_0402,12,2.2r,
R3,Res_0402,1,3.24k,
"R31, R32",Res_0402,2,120r,
"R33, R34",Res_0402,2,5.1K,
"R35, R36",Res_0402,2,22r,
R37,Res_0402,1,1.5k,
R38,Res_0402,1,0r,
"SW1, SW2",BOTTOM,2,BOTTOM,
TV1,SMA_L4.4,1,SMAJ36CA,
U1,TPS5430DDAR_ESOP-8,1,TPS5430DDAR,
"U10, U11",SIT1050TK_TDFN-8,2,SIT1050TK,
U2,AMS1117_SOT-89,1,AMS1117-3.3V,
U3,STM32_F407_VET6_LQFP-100,1,STM32F407VET6,
"U4, U7",EG2133_TSSOP,2,EG2133,
"U5, U6, U8, U9",INA240A2PWR_TSSOP-8,4,INA240A2PWR,
USB1,USB-C-16P-SMD,1,TYPE-C-16P,
X1,XTAL-SMD,1,25Mhz,
