Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14",C0603,4,1uf,
"C10, C13, C2, C3, C4, C5",C0603,6,100nf,
C15,cap_pol,1,220uf,
"C16, C17",C0402,2,100nf,
"C6, C7, C8",C0603,3,22uf,
C9,C0603,1,100pf,
CN1,XT30PW-M30.G.Y,1,XT30PW-M,
CN2,WAFER-GH1.25-10PWB,1,WAFER-GH1.25-10PWB,
"D1, D2, D3, D4, D6, D8",1N4148W,6,1N4148W,
"D5, D7, D9",DSK34,3,DSK34,
L1,FNR6045S6R8MT,1,6.8uh,
LED1,NCD0805R1,1,电源指示灯,
"Q1, Q2, Q3, Q4, Q5, Q6",RU3089M-C,6,RU3089M-C,
"R1, R11, R12, R2, R5, R6",R0402,6,20r,
"R10, R3",R2512,2,10mr,
"R13, R16, R17, R18",R0402,4,10k,
R14,R0603,1,100k,
R15,R0603,1,22.1k,
R4,R0603,1,0r,
"R7, R8, R9",R0402,3,100r,
U2,SY8205FCC,1,SY8205FCC,
"U3, U4",TP181A1-CR,2,TP181A1-CR,
U5,MR30PW-M30.G.Y,1,MR30PW-M30.G.Y,
